Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T01:14:19.499078', 'src_ip': '40.74.250.23', 'payload_printable': '"GET / HTTP/1.0" 200 -'}
{'timestamp': '2024-11-24T01:14:19.710118', 'src_ip': '40.74.250.23', 'payload_printable': '"OPTIONS / HTTP/1.0" - -'}
{'timestamp': '2024-11-24T01:14:19.921805', 'src_ip': '40.74.250.23', 'payload_printable': '"GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-26T01:28:07.958925', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.959190', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.959494', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.959778', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.960032', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.960285', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.960581', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.960830', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.961095', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
{'timestamp': '2024-11-26T01:28:07.961311', 'src_ip': '206.168.34.192', 'payload_printable': '"GET /version HTTP/1.1" 404 -'}
